,artist_popularity,followers,genres,id,name,track_id,track_name_prev,type
0,44,23230,"['sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']",4mGnpjhqgx4RUdsIJiURdo,Juliano Cezar,0wmDmAILuW9e2aRttkl4aC,track_9,artist
1,22,313,[],1dLnVku4VQUOLswwDFvRc9,The Grenadines,4wqwj0gA8qPZKLl5WVqXml,track_30,artist
2,26,1596,['danish pop rock'],6YVY310fjfUzKi8hiqR7iK,Gangway,1bFqWDbvHmZe2f4Nf9qaD8,track_38,artist
3,31,149,['uk alternative pop'],2VElyouiCfoYPDJluzwJwK,FADES,3MFSUBAidPzRBbIS7BDj1S,track_34,artist
4,21,11,['french baroque'],4agVy03qW8juSysCTUOuDI,Jean-Pierre Guignon,2r3q57FhxdsCyYr0kuDq4b,track_26,artist
5,43,81,[],38VBjthd0szbS6wpDMafrb,Filhos,453KeZU566kjNfs1IH4yHU,track_15,artist
6,34,8358,[],36mHwYa65L0WZbAXY2iSGw,Eloq,6hC5Tl0S5aQCw646JuN91w,track_43,artist
7,7,158,[],1jJyy00XfxjB4tMAv5OT0q,Fravær,5005eeCJ9KTFAAzh2NC9mr,track_48,artist
8,21,30,[],10A8WbBJ0zW8MnvTsUL6os,Camille Pépin,56fBsCXwpBnxe4JkF66gyF,track_73,artist
9,25,992,['classic finnish pop'],5ijoPCUhV0dW8EJ7aPGvXK,Pepe Willberg & The Paradise,6WVlVPoesX2zVvJzZJUj6a,track_8,artist
